DATE,OPEN,HIGH,LOW,CLOSE,DOW,JPY,UST10
20010109,-0.221,-1.548,-1.947,-1.871,-2.321,0.74,-2.207
20010110,-1.022,-1.022,-0.833,-1.315,-0.843,0.206,1.27
20010111,-1.185,-1.158,-1.702,-1.739,0.3,-0.291,2.101
20010112,-1.401,0.114,0.928,1.105,0.05,1.067,0.216
20010115,1.529,0.9,1.464,1.18,-0.797,0.618,2.818
20010116,0.825,0.181,0.004,0.577,0.603,0.396,-0.238
20010117,0.236,0.665,0.256,0.61,0.599,-1.048,-0.239
20010118,1.032,1.76,1.814,1.498,-0.643,1.031,-1.038
20010119,1.6,1.812,1.624,0.827,0.884,-0.811,-1.225
20010122,0.384,-1.043,-0.769,0.309,-0.853,-0.689,1.109
20010123,-0.31,0.148,0.519,-0.341,-0.088,-0.694,1.096
20010124,0.386,-0.186,-0.398,-0.653,0.674,0.574,1.104
20010125,-1.009,-1.105,-0.925,-0.651,-0.027,0.69,0.378
20010126,-1.107,-0.938,-0.761,-0.781,0.772,-0.861,-1.118
20010129,-0.02,1.144,0.701,1.084,-0.65,0.436,0.381
20010130,1.166,0.017,-0.061,-0.135,0.395,-0.47,0.87
20010131,-0.213,-0.396,0.094,0.122,1.659,-0.748,-1.556
20010201,-0.832,-0.551,-0.428,-0.463,0.057,0.413,-3.959
20010202,0.173,0.599,0.261,-0.552,0.88,-0.655,1.167
20010205,-1.287,-1.994,-2.48,-2.349,-1.094,0.026,1.425
20010206,-2.025,-1.551,-0.959,-0.868,0.932,-0.72,0.174
20010207,-0.318,-0.042,0.213,0.722,-0.077,-0.052,0.309
20010208,0.469,-0.28,-2.301,-1.719,-0.098,1.376,-1.379
20010209,-1.479,0.926,1.289,2.143,-0.606,0.258,-0.529
20010213,2.191,0.005,0.856,-1.11,-0.915,0.786,-1.067
20010214,-1.897,-0.414,-0.976,0.07,1.124,-0.751,0.594
20010215,0.716,0.082,1.169,0.326,-0.995,-0.18,1.84
20010216,0.562,-0.504,-0.811,-1.146,0.882,-0.897,0.232
20010219,-2.185,-1.601,-1.652,-0.425,-0.841,0.26,-1.109
20010220,0.246,0.843,0.941,0.977,-0.32,0.259,-0.059
20010221,0.679,-0.478,0.086,-1.126,-0.321,-0.302,-0.059
20010222,-1.066,-0.455,-1.721,-0.204,-1.922,0.741,0.469
20010223,0.098,1.117,1.445,1.312,0.002,0.479,0.525
20010226,1.527,0.324,0.934,-0.339,-0.81,-1.09,-1.072
20010227,-0.169,-0.404,-0.989,-1.076,1.903,0.568,-1.223
20010228,-1.872,-1.687,-1.992,-1.359,-0.053,-0.292,-1.721
20010301,-1.364,-1.514,-2.02,-1.579,-1.34,1.019,-1.035
20010302,-1.709,-1.965,-2.152,-3.367,-0.431,0.085,-0.388
20010305,-2.484,-1.644,-1.049,0.491,0.155,1.387,1.282
20010306,0.951,2.382,1.775,2.924,0.913,0.034,0.625
20010307,2.749,1.07,1.516,0.285,0.273,-0.193,-0.08
20010308,-0.427,-0.526,0.353,-0.578,1.298,0.954,-1.52
20010309,-1.149,-0.706,-0.666,-0.179,1.192,-0.25,0.143
20010312,-0.315,-1.251,-2.668,-3.682,-1.987,-0.167,0.691
20010313,-3.787,-3.787,-3.862,-2.932,-4.186,0.7,-0.895
20010314,-1.103,-0.336,0.706,0.202,0.805,-0.533,0.794
20010315,-1.924,1.229,-3.095,2.578,-3.132,1.154,-2.172
20010316,4.058,1.807,5.427,0.657,0.578,1.035,-0.728
20010319,0.118,1.366,0.596,-0.344,-2.094,0.473,-0.523
20010321,0.003,4.362,-0.352,7.222,1.372,0.024,0.919
20010322,6.345,1.013,6.037,-1.926,-4.857,0.3,-0.793
20010323,-0.901,0.041,0.094,2.767,-1.033,0.13,-0.588
20010326,3.39,4.573,3.295,4.786,1.22,-0.69,1.402
20010327,3.377,-0.237,1.786,-1.629,1.904,0.008,1.116
20010328,-0.294,0.275,0.23,0.928,2.649,-0.417,2.856
20010329,-0.778,-1.801,-3.719,-5.167,-1.644,0.082,-0.782
20010330,-3.11,-1.198,-0.613,-0.557,0.14,1.155,0.542
20010402,-1.107,-2.776,-1.638,-0.477,0.81,2.04,-1.635
20010403,-0.668,2.03,1.47,1.432,-1.026,0.427,1.173
20010404,0.557,-0.866,-0.742,0.897,-3.034,-0.975,-1.031
20010405,2.282,2.334,3.424,1.041,0.313,-0.239,0.081
20010406,1.292,0.875,-0.288,0.018,4.144,-0.987,1.03
20010409,-1.591,-2.745,-3.392,-4.134,-1.288,-0.202,-1.763
20010410,-3.491,-3.134,-2.063,-1.74,0.551,1.085,0.733
20010411,-0.494,2.412,1.145,4.301,2.583,-0.601,3.118
20010412,3.236,1.83,3.108,1.338,-0.888,0.345,0.843
20010413,1.874,0.933,1.249,0.249,1.127,-0.966,1.01
20010416,-0.866,-0.944,-0.555,-0.982,0.156,0.492,0.741
20010417,-1.204,-1.856,-1.51,-1.427,0.156,0.129,0.735
20010418,-0.07,3.733,1.149,4.304,0.571,-0.872,-0.745
20010419,4.596,2.832,4.596,1.647,3.832,-0.978,-1.371
20010420,0.474,-0.711,-0.748,-0.743,0.731,-0.946,2.931
20010423,-0.129,0.374,-0.348,-0.364,-1.07,1.314,-0.057
20010424,-1.523,-2.078,-1.744,0.201,-0.451,-1.116,-2.254
20010425,1.248,1.139,2.696,0.612,-0.742,0.904,0.674
20010426,1.222,1.17,1.356,1.047,1.621,-0.098,0.898
20010427,0.481,-0.135,-1.172,-0.277,0.63,0.896,-1.417
20010501,0.427,2.527,2.16,3.464,1.095,0.607,2.665
20010502,2.418,0.134,1.41,-0.026,0.813,-1.618,-0.735
20010507,-0.397,0.767,-0.784,0.745,-0.199,-0.592,0.076
20010508,0.25,-0.938,0.299,-1.668,0.536,-0.132,-1.87
20010509,-1.29,-1.29,-1.913,-1.439,-0.474,0.066,1.054
20010510,-1.413,-0.269,0.414,-0.477,-0.152,0.789,-1.498
20010511,0.139,-0.132,0.201,0.186,0.399,0.392,2.314
20010514,-0.095,-0.968,-1.544,-1.224,-0.82,-0.122,2.833
20010515,-1.525,0.435,-0.164,1.296,0.516,0.651,-0.129
20010516,1.588,-0.372,-0.813,-2.593,-0.04,0.049,1.062
20010517,-1.471,-0.539,0.226,1.568,3.105,0.138,-0.713
20010518,0.62,0.66,1.105,-0.237,0.291,-0.837,-0.94
20010521,0.051,1.036,0.439,2.132,0.471,0.813,-0.019
20010522,2.36,0.919,1.087,-0.606,0.32,-0.715,-0.334
20010523,-1.835,-0.983,-0.718,-0.167,-0.714,0.196,0.352
20010524,-0.701,-1.873,-1.359,-1.23,-1.357,-2.222,-0.204
20010525,-0.322,0.121,-0.311,-0.939,0.152,-0.2,1.856
20010528,-0.996,-0.993,-0.414,-0.205,-1.058,0.59,0.182
20010529,-0.251,0.116,-0.031,0.263,0.153,0.364,0.163
20010530,-0.123,-1.131,-1.685,-2.058,0.153,-0.746,0.163
20010531,-2.113,-1.925,-1.89,-1.728,-1.52,0.116,-0.218
20010601,-0.222,-0.19,0.214,-0.002,0.361,-0.944,-2.296
20010604,-0.532,-0.614,-0.236,0.38,0.717,0.075,-0.149
20010605,-0.465,-0.421,-1.753,-0.984,0.645,0,-0.653
20010606,0.43,0.427,1.1,-0.054,1.028,0.802,-1.263
20010607,-1.265,-0.095,-0.592,0.776,-0.949,-0.05,-0.209
20010608,1.525,1.568,2.049,1.144,0.185,-0.008,1.171
20010611,0.665,-0.47,-0.719,-1.529,-1.031,0.655,0.804
20010612,-2.273,-2.128,-2.954,-2.965,-0.501,0.774,-1.54
20010613,-1.755,-1.485,-0.286,-0.13,0.24,-0.213,-0.664
20010614,-0.446,-0.271,0.005,0.181,-0.704,0.369,0.38
20010615,-0.813,-1.066,-1.775,-0.439,-1.683,-0.641,-0.762
20010618,0.345,-0.083,0.617,-0.727,-0.624,1.31,0.248
20010619,-0.253,0.978,-1.152,-0.978,0.204,0.292,0.286
20010620,-1.255,-1.175,0.004,0.795,-0.459,-0.382,-0.381
20010621,1.589,1.889,1.707,2.245,0.477,0.795,-0.517
20010622,2.054,0.565,1.66,0.632,0.638,0.676,-0.674
20010625,0.085,-0.043,-0.909,-1.142,-1.04,-0.128,-1.01
20010626,-1.519,-0.358,0.112,0.637,-0.951,-0.499,0.02
20010627,0.623,-0.299,-0.069,-1.161,-0.303,-0.032,1.894
20010628,-0.643,-0.861,-2.061,-1.169,-0.36,0.443,0.363
20010629,-0.075,0.84,1.987,2.255,1.251,0.257,1.852
20010702,0.665,-0.429,-1.493,-1.694,-0.606,0.032,0.15
20010703,-0.575,-0.058,0.926,0.518,0.866,-0.482,-0.431
20010704,-0.421,-0.938,-1.28,-1.481,-0.214,0.233,1.028
20010705,-1.877,-0.978,-0.554,-0.172,-0.433,0.08,0.223
20010706,-0.512,-1.41,-1.821,-2.418,-0.434,0.959,0.222
20010709,-2.495,-2.099,-2.142,-0.541,-2.192,0.135,-1.191
20010710,0.463,1.158,0.949,0.495,0.455,-0.478,-0.131
20010711,-0.571,-1.662,-1.15,-2.43,-1.209,0.032,-1.15
20010712,-0.372,1.869,1.06,3.301,0.64,-0.769,0.36
20010713,2.318,0.295,1.318,-0.426,2.297,-0.459,-0.911
20010716,-0.074,-0.291,-0.249,-0.095,0.572,0.941,-0.287
20010717,-1.567,-1.491,-1.317,-1.756,-0.637,0.439,-1.058
20010718,-0.773,-0.734,-2.131,-1.965,1.274,-0.511,0.694
20010719,-1.859,-1.286,0.13,0.133,-0.345,-0.731,-2.331
20010723,0.035,-0.653,-2.834,-2.541,0.379,-0.526,0.412
20010724,-2.496,-0.16,0.266,2.329,-1.765,0.92,-0.117
20010725,1.829,1.429,1.703,0.07,-1.774,-0.322,0.196
20010726,0.769,-0.763,0.524,-0.278,1.594,-0.372,1.437
20010727,-0.437,-0.122,-0.989,-0.511,0.479,0.113,-1.046
20010730,-0.138,-0.672,-1.44,-1.872,-0.373,-0.178,-0.743
20010731,-1.611,0.082,1.013,2.402,-0.144,1.327,-0.433
20010801,2.239,0.792,1.373,0.828,1.157,-0.08,-0.375
20010802,1.263,3.57,2.033,3.612,-0.122,-0.344,0.336
20010803,2.167,-0.335,1.488,-1.276,0.391,-0.757,1.448
