DATE,OPEN,HIGH,LOW,CLOSE
20010109,-0.221,-1.548,-1.947,-1.871
20010110,-1.022,-1.022,-0.833,-1.315
20010111,-1.185,-1.158,-1.702,-1.739
20010112,-1.401,0.114,0.928,1.105
20010115,1.529,0.9,1.464,1.18
20010116,0.825,0.181,0.004,0.577
20010117,0.236,0.665,0.256,0.61
20010118,1.032,1.76,1.814,1.498
20010119,1.6,1.812,1.624,0.827
20010122,0.384,-1.043,-0.769,0.309
20010123,-0.31,0.148,0.519,-0.341
20010124,0.386,-0.186,-0.398,-0.653
20010125,-1.009,-1.105,-0.925,-0.651
20010126,-1.107,-0.938,-0.761,-0.781
20010129,-0.02,1.144,0.701,1.084
20010130,1.166,0.017,-0.061,-0.135
20010131,-0.213,-0.396,0.094,0.122
20010201,-0.832,-0.551,-0.428,-0.463
20010202,0.173,0.599,0.261,-0.552
20010205,-1.287,-1.994,-2.48,-2.349
20010206,-2.025,-1.551,-0.959,-0.868
20010207,-0.318,-0.042,0.213,0.722
20010208,0.469,-0.28,-2.301,-1.719
20010209,-1.479,0.926,1.289,2.143
20010213,2.191,0.005,0.856,-1.11
20010214,-1.897,-0.414,-0.976,0.07
20010215,0.716,0.082,1.169,0.326
20010216,0.562,-0.504,-0.811,-1.146
20010219,-2.185,-1.601,-1.652,-0.425
20010220,0.246,0.843,0.941,0.977
20010221,0.679,-0.478,0.086,-1.126
20010222,-1.066,-0.455,-1.721,-0.204
20010223,0.098,1.117,1.445,1.312
20010226,1.527,0.324,0.934,-0.339
20010227,-0.169,-0.404,-0.989,-1.076
20010228,-1.872,-1.687,-1.992,-1.359
20010301,-1.364,-1.514,-2.02,-1.579
20010302,-1.709,-1.965,-2.152,-3.367
20010305,-2.484,-1.644,-1.049,0.491
20010306,0.951,2.382,1.775,2.924
20010307,2.749,1.07,1.516,0.285
20010308,-0.427,-0.526,0.353,-0.578
20010309,-1.149,-0.706,-0.666,-0.179
20010312,-0.315,-1.251,-2.668,-3.682
20010313,-3.787,-3.787,-3.862,-2.932
20010314,-1.103,-0.336,0.706,0.202
20010315,-1.924,1.229,-3.095,2.578
20010316,4.058,1.807,5.427,0.657
20010319,0.118,1.366,0.596,-0.344
20010321,0.003,4.362,-0.352,7.222
20010322,6.345,1.013,6.037,-1.926
20010323,-0.901,0.041,0.094,2.767
20010326,3.39,4.573,3.295,4.786
20010327,3.377,-0.237,1.786,-1.629
20010328,-0.294,0.275,0.23,0.928
20010329,-0.778,-1.801,-3.719,-5.167
20010330,-3.11,-1.198,-0.613,-0.557
20010402,-1.107,-2.776,-1.638,-0.477
20010403,-0.668,2.03,1.47,1.432
20010404,0.557,-0.866,-0.742,0.897
20010405,2.282,2.334,3.424,1.041
20010406,1.292,0.875,-0.288,0.018
