date,onehot1,onehot2,onehot3,onehot4
20010109 ,0,0,0,1
20010110 ,0,0,0,1
20010111 ,0,0,0,1
20010112 ,1,0,0,0
20010115 ,1,0,0,0
20010116 ,0,1,0,0
20010117 ,0,1,0,0
20010118 ,1,0,0,0
20010119 ,0,1,0,0
20010122 ,0,1,0,0
20010123 ,0,0,1,0
20010124 ,0,0,1,0
20010125 ,0,0,1,0
20010126 ,0,0,1,0
20010129 ,1,0,0,0
20010130 ,0,0,1,0
20010131 ,0,1,0,0
20010201 ,0,0,1,0
20010202 ,0,0,1,0
20010205 ,0,0,0,1
20010206 ,0,0,1,0
20010207 ,0,1,0,0
20010208 ,0,0,0,1
20010209 ,1,0,0,0
20010213 ,0,0,0,1
20010214 ,0,1,0,0
20010215 ,0,1,0,0
20010216 ,0,0,0,1
20010219 ,0,0,1,0
20010220 ,0,1,0,0
20010221 ,0,0,0,1
20010222 ,0,0,1,0
20010223 ,1,0,0,0
20010226 ,0,0,1,0
20010227 ,0,0,0,1
20010228 ,0,0,0,1
20010301 ,0,0,0,1
20010302 ,0,0,0,1
20010305 ,0,1,0,0
20010306 ,1,0,0,0
20010307 ,0,1,0,0
20010308 ,0,0,1,0
20010309 ,0,0,1,0
20010312 ,0,0,0,1
20010313 ,0,0,0,1
20010314 ,0,1,0,0
20010315 ,1,0,0,0
20010316 ,0,1,0,0
20010319 ,0,0,1,0
20010321 ,1,0,0,0
20010322 ,0,0,0,1
20010323 ,1,0,0,0
20010326 ,1,0,0,0
20010327 ,0,0,0,1
20010328 ,0,1,0,0
20010329 ,0,0,0,1
20010330 ,0,0,1,0
20010402 ,0,0,1,0
20010403 ,1,0,0,0
20010404 ,0,1,0,0
20010405 ,1,0,0,0
20010406 ,0,1,0,0
20010409 ,0,0,0,1
20010410 ,0,0,0,1
20010411 ,1,0,0,0
20010412 ,1,0,0,0
20010413 ,0,1,0,0
20010416 ,0,0,1,0
20010417 ,0,0,0,1
20010418 ,1,0,0,0
20010419 ,1,0,0,0
20010420 ,0,0,1,0
20010423 ,0,0,1,0
20010424 ,0,1,0,0
20010425 ,0,1,0,0
20010426 ,1,0,0,0
20010427 ,0,0,1,0
20010501 ,1,0,0,0
20010502 ,0,0,1,0
20010507 ,0,1,0,0
20010508 ,0,0,0,1
20010509 ,0,0,0,1
20010510 ,0,0,1,0
20010511 ,0,1,0,0
20010514 ,0,0,0,1
20010515 ,1,0,0,0
20010516 ,0,0,0,1
20010517 ,1,0,0,0
20010518 ,0,0,1,0
20010521 ,1,0,0,0
20010522 ,0,0,1,0
20010523 ,0,0,1,0
20010524 ,0,0,0,1
20010525 ,0,0,1,0
20010528 ,0,0,1,0
20010529 ,0,1,0,0
20010530 ,0,0,0,1
20010531 ,0,0,0,1
20010601 ,0,0,1,0
20010604 ,0,1,0,0
20010605 ,0,0,1,0
20010606 ,0,0,1,0
20010607 ,0,1,0,0
20010608 ,1,0,0,0
20010611 ,0,0,0,1
20010612 ,0,0,0,1
20010613 ,0,0,1,0
20010614 ,0,1,0,0
20010615 ,0,0,1,0
20010618 ,0,0,1,0
20010619 ,0,0,1,0
20010620 ,0,1,0,0
20010621 ,1,0,0,0
20010622 ,0,1,0,0
20010625 ,0,0,0,1
20010626 ,0,1,0,0
20010627 ,0,0,0,1
20010628 ,0,0,0,1
20010629 ,1,0,0,0
20010702 ,0,0,0,1
20010703 ,0,1,0,0
20010704 ,0,0,0,1
20010705 ,0,0,1,0
20010706 ,0,0,0,1
20010709 ,0,0,1,0
20010710 ,0,1,0,0
20010711 ,0,0,0,1
20010712 ,1,0,0,0
20010713 ,0,0,1,0
20010716 ,0,0,1,0
20010717 ,0,0,0,1
20010718 ,0,0,0,1
20010719 ,0,1,0,0
20010723 ,0,0,0,1
20010724 ,1,0,0,0
20010725 ,0,1,0,0
20010726 ,0,0,1,0
20010727 ,0,0,1,0
20010730 ,0,0,0,1
20010731 ,1,0,0,0
20010801 ,0,1,0,0
20010802 ,1,0,0,0
20010803 ,0,0,0,1
20010806 ,0,1,0,0
20010807 ,0,1,0,0
20010808 ,0,0,0,1
20010809 ,0,0,0,1
20010810 ,0,0,1,0
20010813 ,0,0,0,1
20010814 ,1,0,0,0
20010815 ,0,0,0,1
20010816 ,0,0,0,1
20010817 ,0,0,1,0
20010820 ,0,0,0,1
20010821 ,0,1,0,0
20010822 ,1,0,0,0
20010823 ,0,0,0,1
20010824 ,0,1,0,0
20010827 ,0,1,0,0
20010828 ,0,0,1,0
20010829 ,0,0,0,1
20010830 ,0,0,1,0
20010831 ,0,0,0,1
20010903 ,0,0,0,1
20010904 ,1,0,0,0
20010905 ,0,0,0,1
20010906 ,0,1,0,0
20010907 ,0,0,0,1
20010910 ,0,0,0,1
20010911 ,0,1,0,0
20010912 ,0,0,0,1
20010913 ,0,1,0,0
20010914 ,1,0,0,0
20010917 ,0,0,0,1
20010918 ,1,0,0,0
20010919 ,1,0,0,0
20010920 ,0,0,0,1
20010921 ,0,0,0,1
20010925 ,1,0,0,0
20010926 ,0,0,1,0
20010927 ,0,1,0,0
20010928 ,0,1,0,0
20011001 ,1,0,0,0
20011002 ,1,0,0,0
20011003 ,0,0,0,1
20011004 ,1,0,0,0
20011005 ,0,1,0,0
20011009 ,0,0,0,1
20011010 ,0,0,1,0
20011011 ,1,0,0,0
20011012 ,1,0,0,0
20011015 ,0,0,0,1
20011016 ,1,0,0,0
20011017 ,1,0,0,0
20011018 ,0,0,0,1
20011019 ,0,1,0,0
20011023 ,1,0,0,0
20011024 ,0,0,1,0
20011025 ,0,1,0,0
20011026 ,0,0,1,0
20011029 ,0,0,0,1
20011030 ,0,0,1,0
20011031 ,0,0,0,1
20011101 ,0,0,1,0
20011102 ,0,1,0,0
20011105 ,0,1,0,0
20011106 ,1,0,0,0
20011107 ,0,0,0,1
20011108 ,1,0,0,0
20011109 ,0,0,0,1
20011112 ,0,0,0,1
20011113 ,0,0,1,0
20011114 ,0,1,0,0
20011115 ,1,0,0,0
20011116 ,1,0,0,0
20011119 ,0,1,0,0
20011120 ,0,0,0,1
20011121 ,0,1,0,0
20011122 ,0,1,0,0
20011126 ,1,0,0,0
20011127 ,0,0,0,1
20011128 ,0,0,0,1
20011129 ,0,1,0,0
20011130 ,0,1,0,0
20011203 ,0,0,0,1
20011204 ,0,1,0,0
20011205 ,1,0,0,0
20011206 ,1,0,0,0
20011207 ,0,0,1,0
20011210 ,0,0,0,1
20011211 ,0,0,1,0
20011212 ,1,0,0,0
20011213 ,0,0,0,1
20011214 ,0,1,0,0
20011217 ,0,0,0,1
20011218 ,1,0,0,0
20011219 ,0,1,0,0
20011220 ,0,0,1,0
20011221 ,0,0,1,0
20011225 ,0,0,1,0
20011226 ,0,0,1,0
20011227 ,1,0,0,0
20011228 ,0,1,0,0
