Date,NK_Open,NK_High,NK_Low,NK_Close,DOW,JPY,UST10,VIX
2001/01/05,13763.22,13947.06,13725.46,13867.61,10912.41016,115.73,5.039,26.97
2001/01/09,13732.85,13732.85,13460.82,13610.51,10662.00977,116.59,4.929,28.67
2001/01/10,13593.16,13593.16,13349.15,13432.65,10572.54981,116.83,4.992,27.99
2001/01/11,13433.09,13436.61,13123.81,13201.07,10604.26953,116.49,5.098,26.8
2001/01/12,13246.2,13451.95,13246.2,13347.74,10609.54981,117.74,5.109,25.79
2001/01/15,13450.28,13573.55,13441.52,13506.23,10525.37988,118.47,5.255,24.56
2001/01/16,13561.73,13598.2,13442.09,13584.45,10589.02002,118.94,5.2425,24.92
2001/01/17,13593.83,13688.9,13476.55,13667.63,10652.66016,117.7,5.23,25.28
2001/01/18,13734.79,13931.91,13723.21,13873.92,10584.33984,118.92,5.176,24.93
2001/01/19,13956.34,14186.62,13947.92,13989.12,10678.28027,117.96,5.113,23.37
2001/01/22,14010.07,14039.4,13841.03,14032.42,10587.58984,117.15,5.17,23.24
2001/01/23,13966.64,14060.23,13913.1,13984.66,10578.24023,116.34,5.227,23.25
2001/01/24,14020.61,14034.11,13857.83,13893.58,10649.80957,117.01,5.285,21.57
2001/01/25,13879.83,13879.83,13730.17,13803.38,10646.96973,117.82,5.305,22.03
2001/01/26,13726.98,13750.23,13626.05,13696.06,10729.51953,116.81,5.246,22.64
2001/01/29,13724.26,13908.4,13721.86,13845.28,10659.98047,117.32,5.266,22.57
2001/01/30,13885.27,13910.71,13713.55,13826.65,10702.19043,116.77,5.312,22.61
2001/01/31,13855.74,13855.74,13726.51,13843.55,10881.2002,115.9,5.23,22.57
2001/02/01,13740.92,13779.55,13667.93,13779.55,10887.36035,116.38,5.027,22.02
2001/02/02,13764.69,13862.29,13703.63,13703.63,10983.62988,115.62,5.086,21.66
2001/02/05,13588.64,13588.64,13367.91,13385.52,10864.09961,115.65,5.159,21.95
2001/02/06,13316.25,13379.44,13240.37,13269.85,10965.84961,114.82,5.168,22.19
2001/02/07,13273.93,13373.78,13268.61,13366.01,10957.41992,114.76,5.184,21.98
2001/02/08,13336.34,13336.34,12966.83,13138.23,10946.71973,116.35,5.113,21.67
2001/02/09,13140.61,13460.39,13135.02,13422.83,10880.54981,116.65,5.086,21.46
2001/02/13,13431.72,13461.11,13247.95,13274.7,10781.4502,117.57,5.032,22.03
2001/02/14,13179.27,13405.52,13119.34,13284.06,10903.32031,116.69,5.062,21.37
2001/02/15,13273.91,13416.55,13273.67,13327.39,10795.41016,116.48,5.156,21.52
2001/02/16,13348.72,13349.08,13166.46,13175.49,10891.01953,115.44,5.168,20.27
2001/02/19,13060.2,13137.1,12950.74,13119.59,10799.82031,115.74,5.111,22.12
2001/02/20,13092.36,13248.36,13073.24,13248.36,10765.3501,116.04,5.108,23.405
2001/02/21,13181.5,13185.23,13084.55,13100.08,10730.87988,115.69,5.105,24.69
2001/02/22,13041.72,13125.34,12861.33,13073.36,10526.58008,116.55,5.129,25.75
2001/02/23,13054.46,13272.81,13048.54,13246,10526.80957,117.11,5.156,26.76
2001/02/26,13255.29,13315.86,13170.99,13201.14,10441.90039,115.84,5.101,27.21
2001/02/27,13232.86,13262.22,13041.33,13059.86,10642.53027,116.5,5.039,25.43
2001/02/28,12987.5,13040.31,12784.17,12883.54,10636.87988,116.16,4.953,26.49
2001/03/01,12811.52,12844.35,12528.5,12681.66,10495.28027,117.35,4.902,28.35
2001/03/02,12594.46,12594.46,12261.8,12261.8,10450.13965,117.45,4.883,28.08
2001/03/05,12285.46,12389.09,12133.9,12322.16,10466.30957,119.09,4.946,27.43
2001/03/06,12402.89,12687.74,12351.14,12687.74,10562.29981,119.13,4.977,27.12
2001/03/07,12748.56,12824.19,12539.75,12723.89,10591.21973,118.9,4.973,25.89
2001/03/08,12694.22,12756.97,12584.1,12650.56,10729.59961,120.04,4.898,24.12
2001/03/09,12549.19,12667.21,12500.51,12627.9,10858.25,119.74,4.905,24.29
2001/03/12,12509.67,12509.67,12171.37,12171.37,10644.62012,119.54,4.939,25.62
2001/03/13,12044.78,12044.78,11710.33,11819.7,10208.25,120.38,4.895,30.32
2001/03/14,11912.61,12004.38,11793.27,11843.59,10290.79981,119.74,4.934,27.55
2001/03/15,11685.64,12152.83,11433.88,12152.83,9973.459961,121.13,4.828,29.61
2001/03/16,12169.65,12374.45,12071.49,12232.98,10031.28027,122.39,4.793,28.56
2001/03/19,12183.98,12544.68,12143.67,12190.97,9823.410156,122.97,4.768,29.91
2001/03/21,12184.32,13103.94,12100.97,13103.94,9959.110352,123,4.812,29.78
2001/03/22,12982.53,13237.33,12853.97,12853.97,9487,123.37,4.774,31.93
2001/03/23,12866.02,13242.72,12866.02,13214.54,9389.480469,123.53,4.746,32.84
2001/03/26,13309.72,13862.31,13296.98,13862.31,9504.780273,122.68,4.813,30.45
