Date,NK_Open,NK_High,NK_Low,NK_Close
2001/1/5,13763.22,13947.06,13725.46,13867.61
2001/1/9,13732.85,13732.85,13460.82,13610.51
2001/1/10,13593.16,13593.16,13349.15,13432.65
2001/1/11,13433.09,13436.61,13123.81,13201.07
2001/1/12,13246.2,13451.95,13246.2,13347.74
2001/1/15,13450.28,13573.55,13441.52,13506.23
2001/1/16,13561.73,13598.2,13442.09,13584.45
2001/1/17,13593.83,13688.9,13476.55,13667.63
2001/1/18,13734.79,13931.91,13723.21,13873.92
2001/1/19,13956.34,14186.62,13947.92,13989.12
2001/1/22,14010.07,14039.4,13841.03,14032.42
2001/1/23,13966.64,14060.23,13913.1,13984.66
2001/1/24,14020.61,14034.11,13857.83,13893.58
2001/1/25,13879.83,13879.83,13730.17,13803.38
2001/1/26,13726.98,13750.23,13626.05,13696.06
2001/1/29,13724.26,13908.4,13721.86,13845.28
2001/1/30,13885.27,13910.71,13713.55,13826.65
2001/1/31,13855.74,13855.74,13726.51,13843.55
2001/2/1,13740.92,13779.55,13667.93,13779.55
2001/2/2,13764.69,13862.29,13703.63,13703.63
2001/2/5,13588.64,13588.64,13367.91,13385.52
2001/2/6,13316.25,13379.44,13240.37,13269.85
2001/2/7,13273.93,13373.78,13268.61,13366.01
2001/2/8,13336.34,13336.34,12966.83,13138.23
2001/2/9,13140.61,13460.39,13135.02,13422.83
2001/2/13,13431.72,13461.11,13247.95,13274.7
2001/2/14,13179.27,13405.52,13119.34,13284.06
2001/2/15,13273.91,13416.55,13273.67,13327.39
2001/2/16,13348.72,13349.08,13166.46,13175.49
2001/2/19,13060.2,13137.1,12950.74,13119.59
2001/2/20,13092.36,13248.36,13073.24,13248.36
2001/2/21,13181.5,13185.23,13084.55,13100.08
2001/2/22,13041.72,13125.34,12861.33,13073.36
2001/2/23,13054.46,13272.81,13048.54,13246
2001/2/26,13255.29,13315.86,13170.99,13201.14
2001/2/27,13232.86,13262.22,13041.33,13059.86
2001/2/28,12987.5,13040.31,12784.17,12883.54
2001/3/1,12811.52,12844.35,12528.5,12681.66
2001/3/2,12594.46,12594.46,12261.8,12261.8
2001/3/5,12285.46,12389.09,12133.9,12322.16
2001/3/6,12402.89,12687.74,12351.14,12687.74
2001/3/7,12748.56,12824.19,12539.75,12723.89
2001/3/8,12694.22,12756.97,12584.1,12650.56
2001/3/9,12549.19,12667.21,12500.51,12627.9
2001/3/12,12509.67,12509.67,12171.37,12171.37
2001/3/13,12044.78,12044.78,11710.33,11819.7
2001/3/14,11912.61,12004.38,11793.27,11843.59
2001/3/15,11685.64,12152.83,11433.88,12152.83
2001/3/16,12169.65,12374.45,12071.49,12232.98
2001/3/19,12183.98,12544.68,12143.67,12190.97
2001/3/21,12184.32,13103.94,12100.97,13103.94
2001/3/22,12982.53,13237.33,12853.97,12853.97
2001/3/23,12866.02,13242.72,12866.02,13214.54
2001/3/26,13309.72,13862.31,13296.98,13862.31
2001/3/27,13766.9,13829.47,13536.53,13638.33
2001/3/28,13726.48,13867.58,13567.71,13765.51
2001/3/29,13620.07,13620.07,13072.36,13072.36
2001/3/30,13203,13457.9,12992.45,12999.7
2001/4/2,13057.65,13089.47,12781.34,12937.86
2001/4/3,12970.67,13357.96,12970.67,13124.47
2001/4/4,13043.18,13242.78,12874.76,13242.78
2001/4/5,13344.2,13555.46,13323.16,13381.38
2001/4/6,13517.7,13674.58,13284.79,13383.76
2001/4/9,13304.36,13304.36,12841.76,12841.76
2001/4/10,12847.89,12893.85,12579.56,12620.27
2001/4/11,12784.64,13208.65,12724.47,13174.93
2001/4/12,13205.06,13452.6,13126.21,13352.44
2001/4/13,13454.87,13578.64,13291.2,13385.72
2001/4/16,13338.92,13451.02,13217.64,13254.89
2001/4/17,13179.33,13203.61,13019.6,13067.09
2001/4/18,13170.09,13705.86,13170.09,13641.79
2001/4/19,13789.47,14099.49,13789.47,13868.28
2001/4/20,13855.03,13999.58,13686.66,13765.67
2001/4/23,13837.19,14051.97,13639.11,13715.6
2001/4/24,13628.1,13762.95,13403.27,13743.18
2001/4/25,13799.29,13920.67,13769.58,13827.5
2001/4/26,13968.93,14084.55,13957.63,13973.03
2001/4/27,14036.26,14065.48,13795.05,13934.32
2001/5/1,14096.32,14425.46,14096.32,14425.46
2001/5/2,14441.39,14444.84,14296.54,14421.64
2001/5/7,14384.14,14556.11,14184.85,14529.41
2001/5/8,14420.17,14420.17,14227.37,14289.05
2001/5/9,14235.3,14235.3,13957.81,14084.85
2001/5/10,14035.5,14197.09,14015.7,14017.79
2001/5/11,14055.09,14178.32,14043.92,14043.92
2001/5/14,14041.79,14041.79,13828.7,13873.02
2001/5/15,13829.3,14103.06,13806.05,14054.03
2001/5/16,14050.63,14050.63,13694.27,13694.27
2001/5/17,13845.49,13975.12,13725.25,13910.67
2001/5/18,13931.62,14067.73,13877.77,13877.77
2001/5/21,13938.78,14214.21,13938.78,14176.83
2001/5/22,14271.7,14345.42,14091.19,14091.19
2001/5/23,14012.19,14205.09,13990.32,14067.7
2001/5/24,13914.32,13941.44,13801.46,13895.79
2001/5/25,13869.53,13958.35,13758.66,13765.92
2001/5/28,13732.1,13820.42,13701.83,13737.77
2001/5/29,13697.61,13836.4,13697.61,13773.89
2001/5/30,13680.77,13680.77,13468.73,13493.35
2001/5/31,13394.75,13419.94,13216.57,13262.14
2001/6/1,13365.08,13394.4,13244.9,13261.84
2001/6/4,13294.21,13312.35,13213.65,13312.35
2001/6/5,13232.52,13256.4,12984.07,13182
2001/6/6,13289.59,13313.14,13127.62,13174.84
2001/6/7,13122.58,13300.5,13050.17,13277.51
2001/6/8,13324.25,13510.7,13320.37,13430.22
2001/6/11,13413.1,13447.39,13224.99,13226.48
2001/6/12,13111.64,13164.19,12840.1,12840.1
